"","x"
"1",1.79230883094874
"2",-0.673890321372897
"3",-0.642972274255384
"4",-0.629881122924512
"5",0.9650589844433
"6",-0.951751155711277
"7",-0.760276793465689
"8",-0.393443577247824
"9",-0.872651494924819
"10",2.09716262447925
"11",2.0124863107963
"12",-1.01467155585335
"13",-0.873846795300649
"14",-0.311236583781475
"15",-1.25943717096628
"16",-0.562842673952691
"17",0.806297392353647
"18",-0.980270459873237
"19",2.07860316651833
"20",0.997910237504485
"21",-0.713760117733576
"22",1.26659606876082
"23",-0.328167613897274
"24",-0.924222189901156
"25",0.53998371228381
"26",-0.220863658678066
"27",-0.357421197273419
"28",-0.845294638677518
"29",-0.83441695750424
"30",-0.655745178853354
"31",1.2397477847272
"32",-0.429097533248449
"33",-0.648207151526596
"34",-0.685307325935216
"35",-1.13567200910485
"36",0.939793128854295
"37",-0.546408551777412
"38",1.13164078511784
"39",-0.778193819227522
"40",-0.466789601607069
"41",-0.651836768050659
"42",-0.581582239771591
"43",-1.035096468078
"44",1.42557755881546
"45",-0.668561862928959
"46",-0.681181308697771
"47",-0.756817539766338
"48",-0.332613714919194
"49",1.47042541581267
"50",-1.04751293030332
"51",-0.528028715911134
"52",-0.997795479644395
"53",-0.556711231415892
"54",-1.1746155937266
"55",-0.487402575104505
"56",0.928384998648785
"57",-0.466789601607069
"58",-0.62607608467657
"59",-0.590623883554397
"60",-0.375995595209415
"61",0.713124495366038
"62",0.742045532978377
"63",-0.45827928242319
"64",-0.963741737083896
"65",1.684151541415
"66",-0.675813106339634
"67",-0.613994795722389
"68",1.0732437871667
"69",-1.57949950987375
"70",1.10026271578141
"71",2.01631598385964
"72",1.16772044044924
"73",1.2679218547292
"74",-0.554851645594974
"75",-0.366254235903429
"76",-1.34176706561368
"77",-0.783137266308538
"78",-0.377079420931376
"79",-1.02177344461061
"80",-0.430288960958356
"81",1.16772044044924
"82",-0.824720543905062
"83",-1.2432238880493
"84",0.870289273899848
"85",1.56398975670322
"86",-1.33710067573713
"87",0.870289273899848
"88",1.03682132771979
"89",-0.439894151191546
"90",-0.898924818451454
"91",-0.498052578019927
"92",0.939793128854295
"93",-0.317458052235831
"94",1.0545383390098
"95",0.700996170470665
"96",-0.528973675255903
"97",-0.977435427076931
"98",1.25911183813746
"99",0.749767073358608
"100",-0.415636656988109
"101",-1.71208132793033
"102",1.57505984488462
"103",-0.527137162540222
"104",-0.562556107340813
"105",-0.509184406307352
"106",-0.562678948260777
"107",-1.035096468078
"108",-0.795190065005777
"109",1.85979183137437
"110",-1.01467155585335
"111",-0.799033145059225
"112",-0.385499369723496
"113",-0.712097012540744
"114",-0.668561862928959
"115",0.876711495742697
"116",1.0732437871667
"117",-0.931128461823386
"118",1.04661262973291
"119",-0.696162969435094
"120",1.79087426282103
"121",-0.545683602983983
"122",-0.317458052235831
"123",-1.07394189661082
"124",-0.902029694592424
"125",-0.624666066625212
"126",1.35667378025333
"127",-0.310069881252801
"128",1.567611431917
"129",-0.475834210893285
"130",-0.947544898093565
"131",-0.548844009980584
"132",-0.311236583781475
"133",1.15122244276511
"134",-1.56627893881374
"135",-0.782037635747329
"136",1.03878768822503
"137",1.25489364138373
"138",-0.855602002181927
"139",-0.293334122640267
"140",-0.469070444484333
"141",-0.545683602983983
"142",-0.991809607689715
"143",1.42686860478137
"144",-0.877542370569808
"145",-0.300323906497405
"146",1.1485597646742
"147",-1.27884232259376
"148",-0.485645037090893
"149",1.64127097761447
"150",1.02265048345664
"151",-0.739759801563894
"152",-1.66001497639205
"153",-0.448566332313586
"154",1.19011827997005
"155",0.696856173257238
"156",-1.10366990616402
"157",-0.679119901967578
"158",-0.466789601607069
"159",-1.14727532207879
"160",-0.818047419296073
"161",-1.23297496869508
"162",-0.663633289980386
"163",-0.509184406307352
"164",1.84649082604256
"165",1.14908942470695
"166",-0.378911099381443
"167",-0.429097533248449
"168",-0.413565238597274
"169",-0.392606022059571
"170",-0.626996172850455
"171",-0.792234181776898
"172",-0.717942541108178
"173",-0.724273863174227
"174",-0.354031367076535
"175",1.08199356623211
"176",0.915247510583604
"177",1.27184607862511
"178",-0.288238995462263
"179",-0.569239238786759
"180",-1.1746155937266
"181",-1.25293767524075
"182",-0.47681825030129
"183",2.29082112477115
"184",-0.609078218664033
"185",1.02747158827943
"186",-0.61305742732623
"187",-1.06498847395923
"188",-0.366254235903429
"189",-0.504268850206184
"190",-0.751357809693686
"191",1.53546322747169
"192",-1.02695864535625
"193",-0.462357772609928
"194",1.23050146786748
"195",-0.347657815326974
"196",-0.747241636606106
"197",2.25171511050718
"198",1.08529624402001
"199",-1.06847909211174
"200",1.2139721713432
"201",1.4312481939424
"202",-1.25688595692715
"203",0.922057377178815
"204",-1.5572938277086
"205",-0.581138148004951
"206",-0.609078218664033
"207",-1.0586801860934
"208",-0.802086511870849
"209",-0.288238995462263
"210",-0.328167613897274
"211",-0.49397343487635
"212",-0.332713051947892
"213",-1.42529717197163
"214",-1.04268874907638
"215",-0.497359592146737
"216",-0.648207151526596
"217",1.76758964795768
"218",-0.414152680016734
"219",-0.347657815326974
"220",1.21784118399935
"221",-0.902956766274098
"222",-0.759420931765877
"223",0.870289273899848
"224",-0.56381714979724
"225",-0.78832806865505
"226",1.54006998745812
"227",1.6833270669815
"228",-0.60311708239238
"229",-0.506166685503124
"230",-0.262167838380718
"231",1.4165009907907
"232",-0.269292535986108
"233",-0.997795479644395
"234",-0.727361790449818
"235",1.91659534047396
"236",-0.675813106339634
"237",-0.220863658678066
"238",-0.220863658678066
"239",0.687907355326002
"240",2.01078432492363
"241",-0.627943044424584
"242",-0.7736864591504
"243",-0.590623883554397
"244",-0.948338758077979
"245",1.2412988899335
"246",-0.750045495676073
"247",-1.05713656158849
"248",-1.08951108738527
"249",0.985945735272299
"250",1.47235269465405
"251",2.0124863107963
"252",-0.830169570799224
"253",-0.441593574942817
"254",-0.381493379053832
"255",-0.385499369723496
"256",-1.33710067573713
"257",-0.429649014277445
"258",-1.10270183085003
"259",1.4683985030158
"260",1.77548821439305
"261",-0.750261162453342
"262",1.72938140361432
"263",1.08160689944283
"264",1.67656028543065
"265",1.0545383390098
"266",1.32427169539326
"267",-0.874926975111499
"268",-0.658323350836074
"269",0.878111619196141
"270",-1.32020848363129
"271",-0.68885025602244
"272",0.971435190968693
"273",-1.46546909969416
"274",-0.578361573064263
"275",-1.06203912668827
"276",-0.782037635747329
"277",-1.49072237244917
"278",1.39330259559357
"279",1.31090252190392
"280",-0.573203574865927
"281",-0.404549734378421
"282",-0.468964011198378
"283",-0.475939428877436
"284",-0.596020153368801
"285",-0.362843506016746
"286",1.26659606876082
"287",-0.269382502685861
"288",-0.872651494924819
"289",-0.51671087848214
"290",-0.626996172850455
"291",-0.462576185393058
"292",-0.578361573064263
"293",-0.714128914154149
"294",-0.585190965476821
"295",2.00623442557734
"296",0.853601876100299
"297",1.57505984488462
"298",-0.778193819227522
"299",1.01196544923117
"300",1.56789086040308
"301",-0.68320944338101
"302",-0.581582239771591
"303",0.899273729151471
"304",-1.30621296402144
"305",2.01952982108049
"306",-0.446208791769514
"307",1.66003579516777
"308",1.0545383390098
"309",2.11767201907955
"310",-0.385499369723496
"311",-0.531248659404377
"312",0.740039167323896
"313",-0.86777819093693
"314",-0.686998761139832
"315",1.85449204403439
"316",-0.450216880688654
"317",-1.04874022847446
"318",-0.314072078494745
"319",-1.05293172657978
"320",-0.792030978092431
"321",-0.47681825030129
"322",-0.559541923597453
"323",-0.86777819093693
"324",-1.2229364231692
"325",-0.327831705116698
"326",-0.86777819093693
"327",-1.08523790796911
"328",-0.681181308697771
"329",-0.925063093429265
"330",-0.466789601607069
"331",-1.10366990616402
"332",0.824107718027953
"333",0.670365991708309
"334",-0.582784432782154
"335",-0.30108847424709
"336",2.4564820337001
"337",2.07860316651833
"338",-1.00648142424205
"339",1.28802458984735
"340",-0.562556107340813
"341",1.59598199358858
"342",-0.756682252670881
"343",-0.767505092600178
"344",-0.548844009980584
"345",-0.241103385001265
"346",0.89430643067645
